customer_id,name,phone,email,country
79,Client 79,+38050123079,client79@mail.com,Ukraine
80,Client 80,+38050123080,client80@mail.com,Ukraine
81,Client 81,+38050123081,client81@mail.com,Ukraine
82,Client 82,+38050123082,client82@mail.com,Ukraine
83,Client 83,+38050123083,client83@mail.com,Ukraine
84,Client 84,+38050123084,client84@mail.com,Ukraine
85,Client 85,+38050123085,client85@mail.com,Ukraine
86,Client 86,+38050123086,client86@mail.com,Ukraine
87,Client 87,+38050123087,client87@mail.com,Ukraine
88,Client 88,+38050123088,client88@mail.com,Ukraine
89,Client 89,+38050123089,client89@mail.com,Ukraine
90,Client 90,+38050123090,client90@mail.com,Ukraine
91,Client 91,+38050123091,client91@mail.com,Ukraine
92,Client 92,+38050123092,client92@mail.com,Ukraine
93,Client 93,+38050123093,client93@mail.com,Ukraine
94,Client 94,+38050123094,client94@mail.com,Ukraine
95,Client 95,+38050123095,client95@mail.com,Ukraine
96,Client 96,+38050123096,client96@mail.com,Ukraine
97,Client 97,+38050123097,client97@mail.com,Ukraine
98,Client 98,+38050123098,client98@mail.com,Ukraine
99,Client 99,+38050123099,client99@mail.com,Ukraine
100,Client 100,+38050123100,client100@mail.com,Ukraine
101,Client 101,+38050123101,client101@mail.com,Ukraine
102,Client 102,+38050123102,client102@mail.com,Ukraine
103,Client 103,+38050123103,client103@mail.com,Ukraine
104,Client 104,+38050123104,client104@mail.com,Ukraine
105,Client 105,+38050123105,client105@mail.com,Ukraine
106,Client 106,+38050123106,client106@mail.com,Ukraine
107,Client 107,+38050123107,client107@mail.com,Ukraine
108,Client 108,+38050123108,client108@mail.com,Ukraine
109,Client 109,+38050123109,client109@mail.com,Ukraine
110,Client 110,+38050123110,client110@mail.com,Ukraine
111,Client 111,+38050123111,client111@mail.com,Ukraine
112,Client 112,+38050123112,client112@mail.com,Ukraine
113,Client 113,+38050123113,client113@mail.com,Ukraine
114,Client 114,+38050123114,client114@mail.com,Ukraine
115,Client 115,+38050123115,client115@mail.com,Ukraine
116,Client 116,+38050123116,client116@mail.com,Ukraine
117,Client 117,+38050123117,client117@mail.com,Ukraine
118,Client 118,+38050123118,client118@mail.com,Ukraine
119,Client 119,+38050123119,client119@mail.com,Ukraine
120,Client 120,+38050123120,client120@mail.com,Ukraine
